ADHD_and_hyperkinetic_disorders,ADHD and hyperkinetic disorders
Endometriosis,Endometriosis
Enteropathic_arthropathy,Enteropathic arthropathy
Enthesopathies__synovial_disorders,Enthesopathies
Epilepsy,Epilepsy
Erectile_dysfunction,Erectile dysfunction
Female_genital_prolapse,Female genital prolapse
Female_infertility,Female infertility
Fibromyalgia,Fibromyalgia
Folate_deficiency_with_and_without_anaemia,Folate deficiency
Fracture_of_hip,Hip fracture
Gastritis_and_duodenitis,Gastritis and duodenitis
Gastro-oesophageal_reflux_disease,Gastro-oesophageal reflux disease
Gastroinstetinal_polyp,Gastrointestinal polyp
Gastrointestinal_angiodysplasia,Gastrointestinal angiodysplasia
Giant_Cell_arteritis,Giant cell arteritis
Glaucoma,Glaucoma
Glomerulonephritis_and_other_nephritides,Nephritides
Gout,Gout
Hearing_loss,Hearing loss
Heart_failure,Heart failure 
Heart_valve_disease_non-rheumatic,Non-rheumatic valvular heart disease
Hidradenitis_suppurativa,Hidradenitis suppurativa
HIV,HIV
Hyperparathyroidism,Hyperparathyroidism
Hyperplasia_of_prostate,Hyperplasia of prostate
Hyperprolactinaemia_and_prolactinoma,Hyperprolactinaemia and prolactinoma
Hypertension,Hypertension
Hypertrophic_Cardiomyopathy,Hypertrophic cardiomyopathy
Hypertrophy_of_nasal_turbinates,Turbinate hypertrophy
Hypopituitarism,Hypopituitarism
Hyposplenism,Hyposplenism
Immunodeficiencies,Immunodeficiencies
Infection_of_bones_and_joints,Bone and joint infections
Intervertebral_disc_disorders,Intervertebral disc disorders
Intracerebral_haemorrhage,Intracerebral haemorrhage
Intracranial_hypertension,Intracranial hypertension
Iron_deficiency_with_and_without_anaemia,Iron deficiency
Irritable_bowel_syndrome,Irritable bowel syndrome
IschemicStroke_MGH,Ischemic stroke
Juvenile_arthritis,Juvenile arthritis
Learning_disability,Learning disability
Lichen_planus,Lichen planus
Liver_failure_and_transplant,Liver failure and transplant
Liver_fibrosis_sclerosis_and_cirrhosis,"Liver fibrosis, sclerosis and cirrhosis"
Lupus_erythematosus_local_and_systemic,Lupus erythematosus
Macular_degeneration,Macular degeneration
Male_infertility,Male infertility
Meniere_disease,Meniere disease
Menorrhagia_and_polymenorrhoea,Menorrhagia and polymenorrhoea
Migraine,Migraine
Motor_neuron_disease,Motor neuron disease
Multiple_sclerosis,Multiple sclerosis
Myasthenia_gravis,Myasthenia gravis
Myelodysplastic_syndromes,Myelodysplastic syndromes
Nasal_polyp,Nasal polyp
Neuromuscular_dysfunction_of_bladder,Neuromuscular bladder dysfunction
Non-acute_cystitis,Non-acute cystitis
Non-alcoholic_fatty_liver_disease_and_steatohepatitis,Fatty liver disease
Non-diabetic_peripheral_neuropathies_excluding_cranial_nerves_and_carpal_tunnel_syndrome,Non-diabetic peripheral neuropathies
Non-malignant_tumour_of_brain_central_nervous_system_and_pituitary,Non-malignant CNS tumour
Obesity,Obesity
Obsessive-compulsive_disorder,Obsessive-compulsive disorder
Obstructive_and_reflux_uropathy,Obstructive and reflux uropathy
Oesophagitis_and_oesophageal_ulcer,Oesophagitis and oesophageal ulcer
Osteoarthritis_excl_spine,Non-spinal osteoarthritis
Osteoporosis,Osteoporosis
Other_anaemias,Other anaemias
Other_haemolytic_anaemias,Other haemolytic anaemias
Other_interstitial_pulmonary_diseases_with_fibrosis,Interstitial pulmonary diseases with fibrosis
Other_psychoactive_substance_misuse,Psychoactive substance misuse
Pancreatitis,Pancreatitis
Parkinsons_disease,Parkinsons disease
Peptic_ulcer_disease,Peptic ulcer
Peripheral_arterial_disease,Peripheral arterial disease
Peripheral_venous_and_lymphatic_disease,Peripheral venous and lymphatic disease
Personality_disorder,Personality disorder
Polycystic_ovarian_syndrome,Polycystic ovarian syndrome
Polycythaemia_vera,Polycythaemia vera
Polymyalgia_Rheumatica,Polymyalgia rheumatica
Portal_hypertension_and_oesophageal_varices,Portal hypertension
Post-traumatic_stress_and_stress-related_disorders,Post-traumatic stress disorders
Primary_Malignancy_Adult_Solid,Solid cancer
Primary_Malignancy_All,Cancer
Primary_Malignancy_biliary_tract,Biliary tract cancer
Primary_Malignancy_bladder,Bladder cancer
Primary_Malignancy_Blood_and_Lymph,Haematological cancer
Primary_Malignancy_bone_and_articular_cartilage,Bone cancer
Primary_Malignancy_brain_other_CNS_and_intracranial,Brain cancer
Primary_Malignancy_breast,Breast cancer
Primary_Malignancy_cervical,Cervical cancer
Primary_Malignancy_CNS,CNS cancer
Primary_Malignancy_colorectal_and_anus,Colorectal cancer
Primary_Malignancy_Digestive,Digestive cancer
Primary_Malignancy_Endocrine,Endocrine cancer
Primary_Malignancy_Gynaecological,Gynaecological cancer
Primary_Malignancy_Hodgkin_Lymphoma,Hodgkin lymphoma
Primary_Malignancy_kidney_and_ureter,Kidney cancer
Primary_Malignancy_Leukaemia,Leukaemia
Primary_Malignancy_liver,Liver cancer
Primary_Malignancy_lung_and_trachea,Lung cancer
Primary_Malignancy_Lymphoma,Lymphoma
Primary_Malignancy_Male_Genital,Male genital cancer
Primary_Malignancy_malignant_melanoma,Melanoma
Primary_Malignancy_mesothelioma,Mesothelioma
Primary_Malignancy_Multiple_myeloma_and_malignant_plasma_cell_neoplasms,Myeloma
Primary_Malignancy_Non-Hodgkin_Lymphoma,Non-Hodgkin lymphoma
Primary_Malignancy_oesophageal,Oesophageal cancer
Primary_Malignancy_Oro-pharyngeal,Oro-pharyngeal cancer
Primary_Malignancy_Other,Other cancer
Primary_Malignancy_Other_Skin_and_subcutaneous_tissue,Non-melaoma skin cancer
Primary_Malignancy_ovarian,Ovarian cancer
Primary_Malignancy_pancreatic,Pancreatic cancer
Primary_Malignancy_prostate,Prostate cancer
Primary_Malignancy_Respiratory,Respiratory cancer
Primary_Malignancy_Skin,Skin cancer 
Primary_Malignancy_stomach,Stomach cancer
Primary_Malignancy_testicular,Testicular cancer
Primary_Malignancy_thyroid,Thyroid cancer
Primary_Malignancy_Urinary,Urinary cancer
Primary_Malignancy_uterine,Uterine cancer
Psoriasis,Psoriasis
Psoriatic_arthropathy,Psoriatic arthropathy
Ptosis_of_eyelid,Eyelid ptosis
Pulmonary_hypertension,Pulmonary hypertension
Respiratory_failure,Respiratory failure
Retinal_detachments_and_breaks,Retinal detachments
Retinal_vascular_occlusions,Retinal vascular occlusions
Rheumatic_valve_dz,Rheumatic valve disorder
Rheumatoid_Arthritis,Rheumatoid Arthritis
Rosacea,Rosacea
Sarcoidosis,Sarcoidosis
Schizophrenia_and_non-organic_psychosis,Schizophrenia and psychosis
Scoliosis,Scoliosis
Seborrheic_dermatitis,Seborrheic dermatitis
Secondary_Malignancy_and_metastasis,Secondary cancer
Secondary_Malignancy_and_metastasis_CNS,Secondary CNS cancer
Secondary_polycythaemia,Secondary polycythaemia
Sick_sinus_syndrome,Sick sinus syndrome
Sickle-cell_anaemia,Sickle-cell anaemia
Sjogrens_disease,Sjogrens disease
Sleep_apnoea,Sleep apnoea
Somatoform_and_dissociative_disorders,Somatoform and dissociative disorders
Spina_bifida,Spina bifida
Spinal_stenosis,Spinal stenosis
Spondylolisthesis,Spondylolisthesis
Spondylosis,Spondylosis
Subarachnoid_haemorrhage,Subarachnoid haemorrhage
Subdural_haematoma,Subdural haematoma
Supraventricular_tachycardia,Supraventricular tachycardia
Systemic_sclerosis,Systemic sclerosis
Thalassaemia,Thalassaemia
Thrombocytopenia_-_primary_secondary_and_other,Thrombocytopenia
Thrombophilia,Thrombophilia
Thyroid_disease,Thyroid disease
Tinnitus,Tinnitus
Trigeminal_neuralgia,Trigeminal neuralgia
Tuberculosis,Tuberculosis
Type_1_Diabetes,Type 1 Diabetes
Type_2_Diabetes,Type 2 Diabetes
Ulcerative_colitis,Ulcerative colitis
Unspecified_or_Rare_Diabetes,Unspecified or rare diabetes
Urinary_Incontinence,Urinary Incontinence
Urolithiasis,Urinary calculus
Urticaria,Urticaria
Venous_thromboembolism,Venous thromboembolism
Visual_impairment_and_blindness,Visual impairment
Vitamin_B12_deficiency_with_and_without_anaemia,Vitamin B12 deficiency
Vitiligo,Vitiligo
Zollner_GestationalDiabetesMellitus,Gestational diabetes
