Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Secondary	Hypertension	479|54634	275|9327	1.4238165821161044	1.2759064306216648	1.5888732988993859	2.718567e-10
Digestive	Type 2 Diabetes	534|54634	282|8982	1.361425074452934	1.2357324855861236	1.4999024910072254	4.299502e-10
Secondary	Iron deficiency	479|54634	127|5670	1.4271936020999434	1.2751768463351787	1.597332623885816	6.002367e-10
Respiratory	COPD	149|54634	36|662	2.0688667632487	1.6391125379939844	2.611297018881605	9.380751e-10
All	Peptic ulcer	2782|54634	200|1199	1.3085229735517918	1.2001967959824316	1.4266263483158699	1.066767e-09
Lung	COPD	130|54634	35|662	2.0998228835378323	1.6541052695309393	2.66564421469952	1.099993e-09
Secondary	Thrombocytopenia	479|54634	20|247	2.5371312154674657	1.8803644980675391	3.4232909689131	1.118406e-09
Secondary	Constipation	479|54634	157|7662	1.380170441671251	1.2431394817122812	1.5323062907142784	1.546508e-09
Uterine	Obesity	102|30319	50|3940	1.8963670938657902	1.5404010429148998	2.334592131859299	1.607312e-09
Haematopoietic	Cardiovascular disease	515|54634	140|4464	1.4507983628795977	1.2840670968292323	1.6391790545303875	2.311708e-09
Digestive	Peptic ulcer	534|54634	74|1199	1.5500512579042303	1.342390564664927	1.7898359578609018	2.33789e-09
Digestive	Fatty liver disease	534|54634	77|2125	1.5174374135942383	1.3231028260569915	1.7403154606189224	2.457068e-09
Secondary	Chronic kidney disease	479|54634	14|68	3.1895186117440573	2.1766769087340623	4.673651350754803	2.680817e-09
Secondary	Portal hypertension	479|54634	14|68	3.1895186117440573	2.1766769087340623	4.673651350754803	2.680817e-09
Secondary	Obstructive and reflux uropathy	479|54634	25|459	2.1475614733330395	1.6642135674721112	2.7712911202556123	4.220613e-09
Solid	Cholelithiasis	2312|54634	193|1625	1.2882606819218883	1.1830459048440536	1.4028327876293312	5.647037e-09
Solid	Obesity	2312|54634	430|5337	1.1897997313768993	1.1218902523370302	1.2618198596838068	6.799451e-09
All	Urinary Incontinence	2782|54634	241|1844	1.256008706564392	1.162785123577798	1.3567062727045698	6.915039e-09
Digestive	Unspecified or rare diabetes	534|54634	245|7919	1.3231800922256176	1.2031313639537229	1.455207310620436	7.883775e-09
All	Non-rheumatic valvular heart disease	2782|54634	113|456	1.4159985906962178	1.2579282126703004	1.5939319816966322	8.431952e-09
Kidney	Hypertension	182|54634	111|9327	1.678356431550723	1.407014489174525	2.0020265128757124	8.648902e-09
Secondary	Liver fibrosis, sclerosis and cirrhosis	479|54634	16|131	2.718825539193998	1.933812030077055	3.8225081846651827	8.7193e-09
Solid	Peptic ulcer	2312|54634	171|1199	1.3077420184748667	1.192370883352409	1.4342762061385117	1.242264e-08
All	Cholelithiasis	2782|54634	214|1625	1.2636533377501826	1.1655883628255832	1.3699688577331157	1.364902e-08
Colorectal	Gastritis and duodenitis	241|54634	91|6346	1.5165863699452755	1.3133646978917035	1.7512532666638208	1.397971e-08
All	Gastro-oesophageal reflux disease	2782|54634	599|6440	1.1572702509768198	1.100009715458147	1.217511459194842	1.684455e-08
Solid	Urinary Incontinence	2312|54634	213|1844	1.2625506497796584	1.163589932996513	1.3699277538041525	2.166529e-08
Ovarian	Endometriosis	117|30319	17|735	2.486246143366687	1.8045938633269003	3.425380087467341	2.534693e-08
Solid	COPD	2312|54634	134|662	1.3578953984613618	1.219155663439637	1.5124236949040226	2.642122e-08
Solid	Thrombocytopenia	2312|54634	42|247	1.7258022243987388	1.4227502866825943	2.0934055298518413	3.044295e-08
Haematopoietic	Obesity	515|54634	106|5337	1.4039644713820567	1.2446574506269177	1.583661621846455	3.357921e-08
Digestive	Ulcerative colitis	534|54634	19|293	2.2843510965255605	1.7030438669829888	3.06407840300784	3.517567e-08
Solid	Venous thromboembolism	2312|54634	62|391	1.5378479437907555	1.318354605404546	1.7938848080223042	4.310468e-08
All	Endometriosis	1573|30319	86|735	1.4136796698807885	1.248838166135216	1.60027957442956	4.427222e-08
Secondary	Depression	479|54634	150|7686	1.3346245281883522	1.2032751659949683	1.4803119698469955	4.740015e-08
Digestive	Depression	534|54634	154|7686	1.3204729924131473	1.1945244447564585	1.4597013324813375	5.465767e-08
Bladder	Nephritides	163|54634	14|332	2.6617132648759143	1.8681981309478939	3.792273093015958	5.948295e-08
Solid	Endometriosis	1350|30319	78|735	1.4335745348474174	1.2584302412733521	1.6330948506795928	6.043071e-08
Kidney	Hyperplasia of prostate	125|24315	35|776	1.9190245306847322	1.5155941192374143	2.429842596131687	6.19193e-08
All	Cervical dysplasia	1573|30319	36|196	1.7475136390708406	1.426799693947724	2.1403171949730595	6.81951e-08
All	Polycystic ovarian syndrome	1573|30319	36|196	1.7475136390708406	1.426799693947724	2.1403171949730595	6.81951e-08
Solid	Gastro-oesophageal reflux disease	2312|54634	515|6440	1.161585636802122	1.0999919922443901	1.2266281946943627	7.105198e-08
Solid	Non-rheumatic valvular heart disease	2312|54634	96|456	1.4147756962803177	1.247009119721067	1.605112776747917	7.132735e-08
Solid	Cervical dysplasia	1350|30319	33|196	1.7825269635354295	1.4419032178478943	2.2036169532052607	9.175169e-08
Solid	Polycystic ovarian syndrome	1350|30319	33|196	1.7825269635354295	1.4419032178478943	2.2036169532052607	9.175169e-08
Kidney	Gastro-oesophageal reflux disease	182|54634	63|6440	1.564307133872532	1.326733226369488	1.8444226468803335	1.015059e-07
Endocrine	Hyperparathyroidism	164|54634	6|74	5.158469876726497	2.816546699780469	9.447672737387501	1.07238e-07
Urinary	Hypertension	212|54634	123|9327	1.5600080788530637	1.3239872399918704	1.8381032177483598	1.077158e-07
All	Aplastic anaemias	2782|54634	18|45	2.4418550088731683	1.7562727363841888	3.3950626009459586	1.099568e-07
All	Venous thromboembolism	2782|54634	68|391	1.4849186654292847	1.2823769499478994	1.7194503090763387	1.262323e-07
Digestive	Gastro-oesophageal reflux disease	534|54634	160|6440	1.3065485948927644	1.183049700061404	1.4429395744977198	1.305088e-07
All	Constipation	2782|54634	621|7662	1.142647570503859	1.0871285821612755	1.201001879448957	1.542776e-07
Bladder	Hypertension	163|54634	101|9327	1.6405933907142807	1.3628641692148877	1.974919243203755	1.679885e-07
Digestive	Venous thromboembolism	534|54634	24|391	1.9627135891736105	1.5223171273671896	2.530513888252127	1.976234e-07
Haematopoietic	Hypertension	515|54634	207|9327	1.362569151960756	1.2125114511108028	1.5311976576998059	2.02608e-07
Digestive	Psychoactive substance misuse	534|54634	86|2298	1.416230833508482	1.2414686029041238	1.6155944412031389	2.232288e-07
All	COPD	2782|54634	151|662	1.3067354447012771	1.1803749095819844	1.4466230250889993	2.523057e-07
Secondary	Non-rheumatic valvular heart disease	479|54634	35|456	1.7205792372921607	1.3981417590581497	2.117376791460062	2.968332e-07
Secondary	Gastritis and duodenitis	479|54634	156|6346	1.3117170445517718	1.181928837487284	1.4557573606762482	3.318932e-07
All	Depression	2782|54634	612|7686	1.1367246351583924	1.0820720588122907	1.1941375675056873	3.439781e-07
All	Urinary calculus	2782|54634	158|1373	1.266644147985478	1.1561951466684812	1.3876441206735903	3.816795e-07
Colorectal	Ulcerative colitis	241|54634	12|293	2.702212819149062	1.8383317081787123	3.9720547099781993	4.238411e-07
Bladder	End stage renal disease	163|54634	9|130	3.24245253919891	2.054845700059559	5.116441817822492	4.309982e-07
Urinary	End stage renal disease	212|54634	10|130	3.0818806151929117	1.9887015930819476	4.775974514900718	4.753781e-07
Solid	Urinary calculus	2312|54634	137|1373	1.2849219792925377	1.1653448921861163	1.416768978814359	4.896431e-07
Digestive	Peripheral arterial disease	534|54634	31|323	1.760854143266429	1.4116815182744333	2.1963929354608056	5.233943e-07
Solid	Constipation	2312|54634	528|7662	1.1476139949237996	1.0875191271391902	1.2110296255749433	5.238737e-07
Solid	Depression	2312|54634	530|7686	1.1451801948055227	1.0860935026392196	1.207481377421011	5.286484e-07
All	Type 2 Diabetes	2782|54634	964|8982	1.1304457229050855	1.0775128880591391	1.1859788839613985	5.408836e-07
Digestive	Hypertension	534|54634	293|9327	1.2971025898385051	1.1709988048597653	1.436786375514059	6.191477e-07
Solid	Visual impairment	2312|54634	107|712	1.3396039358337544	1.1937899234722968	1.5032282226688853	6.60432e-07
All	Fibromyalgia	2782|54634	82|585	1.38169499123537	1.215903288624573	1.570092840989399	7.139706e-07
Bladder	Gastro-oesophageal reflux disease	163|54634	56|6440	1.5420149958052816	1.296882360516749	1.8334818328016371	9.433907e-07
Haematopoietic	Rheumatoid Arthritis	515|54634	31|819	1.7191414341352436	1.382962254735022	2.137041166844319	1.058426e-06
Secondary	Eating disorders	479|54634	21|464	1.967620608870259	1.499194434227302	2.5824074396636814	1.06642e-06
Urinary	Gastro-oesophageal reflux disease	212|54634	68|6440	1.476155392340087	1.2622098677061198	1.7263648447740232	1.08834e-06
Haematopoietic	Gastritis and duodenitis	515|54634	125|6346	1.3199567883975754	1.1797805374873815	1.476788154979609	1.258048e-06
Kidney	Obesity	182|54634	47|5337	1.5703350433490706	1.3078040853838997	1.8855669407442317	1.330946e-06
Urinary	Nephritides	212|54634	14|332	2.370597421586871	1.6696329969967485	3.365848749601146	1.391707e-06
Gynaecological	Endometriosis	361|30319	28|735	1.717314957734953	1.3757482982564537	2.1436847625381885	1.758318e-06
Digestive	Diverticular disease	534|54634	35|409	1.6404916770772118	1.3387891151249287	2.0101843614918193	1.807413e-06
Haematopoietic	Fibromyalgia	515|54634	21|585	1.9314943926237493	1.473634325673522	2.531612167103864	1.853404e-06
All	Diverticular disease	2782|54634	95|409	1.3476765019866594	1.1898542968437569	1.5264322352953545	2.659757e-06
Digestive	Liver failure and transplant	534|54634	10|84	2.7608814646750774	1.8045943686132526	4.22392233654365	2.853168e-06
Solid	Obstructive and reflux uropathy	2312|54634	52|459	1.4677769834195737	1.2493990503597416	1.7243244041493002	3.023356e-06
All	Thyroid disease	2782|54634	279|2967	1.176483612427651	1.0983646546370687	1.2601586226098713	3.544495e-06
All	Fatty liver disease	2782|54634	219|2125	1.197652031912236	1.1088736828140617	1.2935381295220307	4.432965e-06
Secondary	Thyroid disease	479|54634	74|2967	1.373693365939267	1.1988791468366973	1.57399807028472	4.833633e-06
Kidney	Nephritides	182|54634	12|332	2.3405384272108813	1.6235921645535485	3.374074012458139	5.183965e-06
Urinary	Obesity	212|54634	51|5337	1.5010487042605192	1.2593101512208589	1.7891916541590909	5.801563e-06
Uterine	Menorrhagia and polymenorrhoea	102|30319	34|3718	1.670319624446992	1.337048857386484	2.0866609566282133	6.239281e-06
All	Obstructive and reflux uropathy	2782|54634	58|459	1.4183213153392484	1.2187219552643347	1.6506105800886652	6.297575e-06
All	Non-spinal osteoarthritis	2782|54634	582|4019	1.138694009503601	1.0759151007737604	1.2051360245310248	7.159213e-06
All	Menorrhagia and polymenorrhoea	1573|30319	287|3718	1.170209742690444	1.0925825349510094	1.2533523080240685	7.175945e-06
Secondary	Anxiety and phobia	479|54634	92|5138	1.3201495161574655	1.1692945473748892	1.4904668365412554	7.248917e-06
Kidney	Non-acute cystitis	182|54634	6|103	3.6308253805776567	2.0651147626460196	6.383612757363528	7.501615e-06
Solid	Intervertebral disc disorders	2312|54634	177|1731	1.2141399912091633	1.1147104666212762	1.3224383931026873	8.541923e-06
Secondary	Liver failure and transplant	479|54634	9|84	2.7913629804407343	1.77469553741885	4.390447332677346	8.892747e-06
Digestive	Diabetic eye	534|54634	134|3243	1.277462897983996	1.1462433694345664	1.423704161997185	9.501656e-06
Digestive	Thrombocytopenia	534|54634	16|247	2.0273631341621874	1.4820468217525065	2.773327547708414	9.817326e-06
Digestive	Obesity	534|54634	109|5337	1.2933710151915148	1.153928897227422	1.449663481828763	9.876842e-06
Digestive	Enthesopathies	534|54634	181|7084	1.2415865033265892	1.1278842493657508	1.3667511059841535	1.006304e-05
Bladder	Psychoactive substance misuse	163|54634	34|2298	1.6076652962620803	1.3003922113456485	1.9875447440052765	1.148911e-05
All	Female genital prolapse	1573|30319	119|884	1.2642183170556243	1.1383790538677763	1.4039681666214083	1.171697e-05
All	Liver failure and transplant	2782|54634	20|84	1.8776744191093093	1.4148447390189254	2.491906798637304	1.281395e-05
Secondary	Chronic ulcer of skin	479|54634	25|506	1.6935992533960498	1.33628316165053	2.146460056834706	1.313862e-05
Digestive	Fibromyalgia	534|54634	23|585	1.7201646276584408	1.3466445770638404	2.1972882798064592	1.406454e-05
All	Eating disorders	2782|54634	57|464	1.4086967694543586	1.2063922473709068	1.6449265092641399	1.476307e-05
Digestive	Urinary Incontinence	534|54634	60|1844	1.394791581264565	1.199503018788313	1.6218746636683836	1.534202e-05
Digestive	Anxiety and phobia	534|54634	94|5138	1.2974243111725814	1.1525856156182124	1.4604640387766512	1.622749e-05
All	Coronary heart disease	2782|54634	453|2984	1.144936297400025	1.0761137373390117	1.218160385486379	1.875185e-05
Endocrine	Hypopituitarism	164|54634	4|65	4.783822915631941	2.3325514701208125	9.81112827788532	1.944733e-05
All	Intervertebral disc disorders	2782|54634	200|1731	1.19069241589028	1.0984761750648517	1.2906501401133537	2.198725e-05
Haematopoietic	Gastrointestinal polyp	515|54634	40|1066	1.5069217591270887	1.246562306636246	1.8216603983946034	2.261868e-05
Solid	Chronic viral hepatitis	2312|54634	57|616	1.3795219139796113	1.1886569306078916	1.60103446347359	2.288384e-05
Secondary	Gastrointestinal polyp	479|54634	48|1066	1.4356863104482416	1.2140180976732038	1.6978290405711303	2.373244e-05
Solid	Thyroid disease	2312|54634	239|2967	1.1717390350249242	1.0886395832846851	1.261181742132282	2.411571e-05
Solid	Type 2 Diabetes	2312|54634	821|8982	1.117463070022732	1.0611960021684583	1.1767135480278614	2.516284e-05
Solid	Ulcerative colitis	2312|54634	34|293	1.5369086056941108	1.258094406028114	1.8775125705501554	2.575227e-05
All	Visual impairment	2782|54634	115|712	1.2665478866882067	1.1345402196026657	1.4139151010760638	2.579156e-05
All	Unspecified or rare diabetes	2782|54634	813|7919	1.1094828435008766	1.056752311680391	1.1648445585753167	2.89092e-05
Solid	Hearing loss	2312|54634	217|2216	1.1844730593078943	1.0940268820985024	1.2823966679274732	2.948208e-05
Urinary	Hyperplasia of prostate	145|24315	33|776	1.647898764018533	1.3034804549573182	2.08332263527705	2.972326e-05
All	Enthesopathies	2782|54634	655|7084	1.1112627707295393	1.0575675680137588	1.1676842056803942	2.978472e-05
Secondary	Gastro-oesophageal reflux disease	479|54634	137|6440	1.249625616933507	1.1241463998874273	1.3891110469711279	3.666956e-05
All	Ulcerative colitis	2782|54634	38|293	1.481590243829795	1.2275737888550242	1.7881692086787235	4.189324e-05
Gynaecological	Obstructive and reflux uropathy	361|30319	12|219	2.06936748959085	1.4609003445440563	2.9312620966709595	4.244949e-05
Ovarian	Obstructive and reflux uropathy	117|30319	7|219	2.8061122936520513	1.7113527848336025	4.601194022862331	4.322681e-05
Secondary	Visual impairment	479|54634	34|712	1.5121023994982228	1.2391476943225717	1.8451825210539263	4.67946e-05
Solid	Female genital prolapse	1350|30319	105|884	1.2579834469948676	1.1263488418516336	1.4050019799474738	4.703475e-05
Secondary	Heart failure	479|54634	42|662	1.4592928951356978	1.2160950565576898	1.7511260672512277	4.836288e-05
Kidney	End stage renal disease	182|54634	7|130	2.761268015138033	1.6916090896404632	4.507306740143419	4.85147e-05
Respiratory	Peripheral arterial disease	149|54634	14|323	1.9840634714316971	1.4255164940276475	2.76146075837215	4.869028e-05
Secondary	Vitamin B12 deficiency	479|54634	60|1908	1.358490286916949	1.1703277713161002	1.5769051242561984	5.632123e-05
Non-Melanoma Skin	Eating disorders	129|54634	8|464	2.5080586307764587	1.6020129303610224	3.926533910056968	5.804472e-05
Bladder	Non-acute cystitis	163|54634	5|103	3.4572725573761343	1.8848573845988217	6.3414524799870575	6.124431e-05
Gynaecological	Menorrhagia and polymenorrhoea	361|30319	78|3718	1.3070164230259753	1.1460997678912594	1.4905263729376272	6.487796e-05
Solid	Diverticular disease	2312|54634	78|409	1.311299984847612	1.1471333050349188	1.4989606201077088	7.142746e-05
Bladder	Gastrointestinal polyp	163|54634	21|1066	1.6896222783173156	1.303731216575113	2.189733134476741	7.338603e-05
Lymphoma	Other anaemias	193|54634	37|5077	1.4855796012827214	1.2210928054748085	1.8073538242567753	7.594388e-05
All	Chronic viral hepatitis	2782|54634	63|616	1.3257813715468836	1.1525151855683549	1.5250959528780004	7.931014e-05
All	Folate deficiency	2782|54634	136|1450	1.2117929018674476	1.1012373155801387	1.33344740161002	8.294668e-05
Prostate	Subdural haematoma	196|24315	6|31	0.14386354972353918	0.05474184451560776	0.37807861832562606	8.388917e-05
Haematopoietic	Peptic ulcer	515|54634	41|1199	1.4452986812038675	1.2025136809229944	1.7371014658945942	8.656583e-05
Bladder	Other anaemias	163|54634	37|5077	1.488922940731981	1.220475332905776	1.8164164925479247	8.701012e-05
Solid	Hyperparathyroidism	2312|54634	19|74	1.7703583788195278	1.3302266217343333	2.3561164227567595	8.977221e-05
Digestive	Non-spinal osteoarthritis	534|54634	157|4019	1.2385755880268443	1.1128032698261716	1.3785630657750285	8.988404e-05
All	Nephritides	2782|54634	55|332	1.3679687836900762	1.168977360792492	1.6008339048429976	9.357134e-05
Haematopoietic	Menorrhagia and polymenorrhoea	236|30319	51|3718	1.3899739417160453	1.1779150254087254	1.6402096220644142	9.668407e-05
Digestive	Intervertebral disc disorders	534|54634	58|1731	1.3387910429826426	1.1556429410333546	1.5509647427672215	0.0001013565
Haematopoietic	Non-rheumatic valvular heart disease	515|54634	24|456	1.6291949547140894	1.2728485225537367	2.085304066771847	0.0001062855
Male genital	Subdural haematoma	222|24315	6|31	3.052894020752362	1.73615809388876	5.36826797902351	0.0001062966
All	End stage renal disease	2782|54634	28|130	1.5695641981007808	1.249586579239006	1.971477457336354	0.0001063881
Digestive	Pancreatitis	534|54634	16|255	1.7997828162796756	1.3352896037848707	2.4258544188422158	0.0001140932
Kidney	Obstructive and reflux uropathy	182|54634	10|459	2.127971120087813	1.4497330557480654	3.1235137185936552	0.0001149669
Solid	Anxiety and phobia	2312|54634	326|5138	1.1327224693384328	1.0631481549360609	1.2068498511586296	0.0001165036
Lymphoma	Gastrointestinal polyp	193|54634	18|1066	1.728264973893793	1.3073859426538799	2.284635104707464	0.0001218715
Lung	Peripheral arterial disease	130|54634	13|323	7.033929174436867e-05	5.318044448760938e-07	0.009303449812744922	0.0001246635
Solid	Eating disorders	2312|54634	46|464	1.3906398987180961	1.1747178510557363	1.6462500558484499	0.0001279046
All	Vitamin B12 deficiency	2782|54634	222|1908	1.1641905049917491	1.0768582694768416	1.2586053061294629	0.0001328079
All	Anxiety and phobia	2782|54634	375|5138	1.1218173453023783	1.0575262348506684	1.1900169610439804	0.0001347766
All	Hearing loss	2782|54634	248|2216	1.1564257519732457	1.07313797987993	1.2461776070738968	0.0001384583
Secondary	Respiratory failure	479|54634	14|169	1.8773139402279204	1.3576616433117834	2.5958659490277225	0.0001394037
Solid	Nephritides	2312|54634	48|332	1.3819520104057816	1.1693758114924864	1.6331715948759833	0.0001469766
Secondary	COPD	479|54634	40|662	1.4348050696222452	1.190773166625221	1.7288478154476514	0.0001472306
Secondary	Dermatitis	479|54634	150|11312	1.2156306553137852	1.0988190102406523	1.3448601419946127	0.0001517179
Urinary	Gastrointestinal polyp	212|54634	24|1066	1.600677536621298	1.254710464011375	2.042039697391731	0.0001529446
Solid	Fatty liver disease	2312|54634	183|2125	1.1742515900236834	1.080525421260572	1.2761076875586355	0.0001538071
Digestive	Coronary heart disease	534|54634	138|2984	1.2396040325103261	1.109090644083827	1.3854757188806663	0.0001542355
All	Hyperparathyroidism	2782|54634	20|74	1.6991514850229363	1.289167111690977	2.239520185454214	0.0001679742
Uterine	Hypertension	102|30319	59|4567	1.5496994362019598	1.233208216802153	1.947415132208743	0.0001709342
Secondary	Coronary heart disease	479|54634	116|2984	1.2571697949494822	1.115532654631652	1.4167903438516514	0.0001748996
Solid	Coronary heart disease	2312|54634	380|2984	1.1357099931642733	1.0626287511202788	1.2138173253955153	0.0001767808
