Gene_symbol	Ensembl_ID	Mask	All_Eur_hom.alt	All_Eur_het	All_Eur_hom.ref	All_BP_hom.alt	All_BP_het	All_BP_hom.ref	fisher.p.val	adj.fisher.p.val	log.odds.ratio	lower.CI	upper.CI	p.val	adj.p.val	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex	adj.p.val.sex
TCHP	ENSG00000139437	M1	0	25	12955	0	1	134	0.236068783678443	1	1.35252146808802	-0.653489727227467	3.35853266340351	0.186343079267467	0.796193156870087	1.34590107321095	-0.660325215529627	3.35212736195153	0.188555126424914	0.80564463108827
TMPRSS15	ENSG00000154646	M1	0	83	12897	0	2	133	0.217963110854061	1	0.848707449611376	-0.564159371542889	2.26157427076564	0.239056605118939	0.936305036715843	0.845008986599252	-0.567952700086993	2.2579706732855	0.241141344563184	0.944470266205805
SLC2A8	ENSG00000136856	M1	0	35	12945	0	1	134	0.311327186217421	1	1.01527703065709	-0.979761505470949	3.01031556678512	0.318557020592761	0.981923284600198	1.02301868575981	-0.97225345229607	3.01829082381568	0.314937568813573	0.981908645280175
BRCA1	ENSG00000012048	M1	0	47	12933	0	1	134	0.391980311624759	1	0.719550061667327	-1.26845301254627	2.70755313588092	0.478075406151585	0.981923284600198	0.748887171416289	-1.24143178064807	2.73920612348064	0.460839217279919	0.981908645280175
SPATA31D1	ENSG00000214929	M1	0	53	12927	0	1	134	0.428717046081989	1	0.59894171269401	-1.38673285328066	2.58461627866868	0.554395403390226	0.981923284600198	0.601750208423312	-1.38399293411557	2.5874933509622	0.552553438503328	0.981908645280175
SREBF2	ENSG00000198911	M1	0	0	12980	0	1	134	0.010293556995731	1	17.1393881952568	-619.346583062585	653.625359453098	0.95790863155309	0.981923284600198	17.1915803322629	-619.29441049275	653.677571157276	0.957780577513723	0.981908645280175
NF1	ENSG00000196712	M1	0	23	12957	0	0	135	1	1	-11.001951565599	-605.794918913823	583.791015782625	0.971080090448484	0.981923284600198	-11.019779027487	-605.720303039673	583.680744984699	0.971028748705002	0.981908645280175
LAMB2	ENSG00000172037	M1	0	20	12960	0	0	135	1	1	-11.001720057338	-648.846113930427	626.842673815751	0.97303184199598	0.981923284600198	-10.9979051337458	-648.743194374399	626.747384106908	0.973037002071417	0.981908645280175
TNFRSF13B	ENSG00000240505	M1	0	20	12960	0	0	135	1	1	-11.0017200573365	-648.846113930629	626.842673815956	0.973031841995992	0.981923284600198	-10.9979051337491	-648.743194376754	626.747384109256	0.973037002071508	0.981908645280175
PLEKHN1	ENSG00000187583	M1	0	19	12961	0	0	135	1	1	-11.0016428998448	-665.416181859009	643.41289605932	0.973714624943133	0.981923284600198	-11.0272847183563	-665.349839289317	643.295269852605	0.973649680724065	0.981908645280175
PLIN1	ENSG00000166819	M1	0	18	12962	0	0	135	1	1	-11.001565748254	-683.348589169957	661.345457673449	0.974415630309377	0.981923284600198	-10.9966051352708	-683.240153310778	661.246943040237	0.974423227409485	0.981908645280175
ARHGAP45	ENSG00000180448	M1	0	8	12972	0	0	135	1	1	-10.0007940877116	-621.699527363203	601.69793918778	0.974437063636238	0.981923284600198	-9.96846781451354	-621.623176842085	601.686241213058	0.974517831040475	0.981908645280175
RTN2	ENSG00000125744	M1	0	7	12973	0	0	135	1	1	-10.0007170015175	-663.934166379045	643.93273237601	0.976087735267894	0.981923284600198	-10.0291804337399	-663.877503815867	643.819142948388	0.976016576992157	0.981908645280175
SUSD4	ENSG00000143502	M1	0	7	12973	0	0	135	1	1	-10.0007170015176	-663.934166379752	643.932732376717	0.976087735267919	0.981923284600198	-9.98507357401421	-663.831324779131	643.861177631103	0.976121945342306	0.981908645280175
ATRNL1	ENSG00000107518	M1	0	7	12973	0	0	135	1	1	-10.0007170015192	-663.934166380047	643.932732377008	0.976087735267926	0.981923284600198	-9.9552968657336	-663.888764904415	643.978171172948	0.97619630569205	0.981908645280175
CDC42BPB	ENSG00000198752	M1	0	7	12973	0	0	135	1	1	-10.0007170015214	-663.934166381701	643.932732378658	0.976087735267981	0.981923284600198	-9.98507357401311	-663.831324778737	643.861177630711	0.976121945342294	0.981908645280175
SEC16A	ENSG00000148396	M1	0	15	12965	0	0	135	1	1	-11.0013343292294	-747.520592820926	725.517924162468	0.976644596504605	0.981923284600198	-11.0112847149098	-747.411858219285	725.389288789466	0.976619711773052	0.981908645280175
PSIP1	ENSG00000164985	M1	0	15	12965	0	0	135	1	1	-11.0013343292279	-747.520592822265	725.517924163809	0.976644596504651	0.981923284600198	-10.9975185880508	-747.402218885871	725.407181709769	0.976649063894048	0.981908645280175
FAM234B	ENSG00000084444	M1	0	3	12977	0	0	135	1	1	-9.0004074331164	-614.864071252269	596.863256386036	0.97677188025623	0.981923284600198	-9.05751379297212	-614.921205582427	596.806177996483	0.976624544117141	0.981908645280175
SPRED2	ENSG00000198369	M1	0	3	12977	0	0	135	1	1	-9.00040743311578	-614.864071252309	596.863256386077	0.976771880256233	0.981923284600198	-8.98968694029966	-614.765399081886	596.786025201287	0.976796172252902	0.981908645280175
CIMIP2C	ENSG00000173557	M1	0	3	12977	0	0	135	1	1	-9.00040743305772	-614.864071251279	596.863256385163	0.976771880256345	0.981923284600198	-9.0239293553268	-614.801968872182	596.754110161529	0.976707901598821	0.981908645280175
VNN2	ENSG00000112303	M1	0	31	12949	0	0	135	1	1	-12.00256935685	-856.690134695656	832.684995981956	0.977781735275468	0.981923284600198	-11.9941212757239	-856.557313630993	832.569071079545	0.977794100913478	0.981908645280175
PIK3IP1	ENSG00000100100	M1	0	6	12974	0	0	135	1	1	-10.0006399213871	-716.329489779168	696.328209936394	0.977861241637065	0.981923284600198	-10.0242166172719	-716.252820273754	696.20438703921	0.977805913444786	0.981908645280175
TPRG1L	ENSG00000158109	M1	0	70	12910	0	0	135	1	1	-13.0055857809438	-939.782393935127	913.771222373239	0.978057396329874	0.981923284600198	-13.0047165504739	-939.63476146804	913.625328367092	0.978055388252088	0.981908645280175
DOP1B	ENSG00000142197	M1	0	29	12951	0	0	135	1	1	-12.0024149166286	-885.331548982136	861.326719148879	0.978510499327925	0.981923284600198	-12.0107403346062	-885.197667275342	861.17618660613	0.978492095490243	0.981908645280175
LRSAM1	ENSG00000148356	M1	0	12	12968	0	0	135	1	1	-11.0011029637728	-834.454662967385	812.45245703984	0.979110134434631	0.981923284600198	-11.0076040845991	-834.328003679063	812.312795509865	0.979094412493758	0.981908645280175
NDUFB3	ENSG00000119013	M1	0	5	12975	0	0	135	1	1	-10.0005628470736	-783.745047298748	763.743921604601	0.979789894434671	0.981923284600198	-10.0173092794032	-783.642824124153	763.608205565347	0.979752946396218	0.981908645280175
TAS2R1	ENSG00000169777	M1	0	1	12979	0	0	135	1	1	-8.00024983770579	-644.486220932984	628.485721257572	0.980345638555588	0.981923284600198	-7.95447510046326	-644.440465350803	628.531515149876	0.980458072231939	0.981908645280175
UCHL1	ENSG00000154277	M1	0	1	12979	0	0	135	1	1	-8.00024983770598	-644.486220933087	628.485721257675	0.980345638555591	0.981923284600198	-7.9544751004629	-644.440465350629	628.531515149703	0.980458072231935	0.981908645280175
ARID2	ENSG00000189079	M1	0	1	12979	0	0	135	1	1	-8.00024983770599	-644.486220933088	628.485721257676	0.980345638555591	0.981923284600198	-7.95447510046291	-644.440465350632	628.531515149706	0.980458072231935	0.981908645280175
HLA-DMB	ENSG00000242574	M1	0	1	12979	0	0	135	1	1	-8.00024983770642	-644.486220933287	628.485721257875	0.980345638555596	0.981923284600198	-8.05715506477167	-644.543152784306	628.428842654763	0.980205867843957	0.981908645280175
GTF2IRD1	ENSG00000006704	M1	0	1	12979	0	0	135	1	1	-8.00024983770591	-644.486220933327	628.485721257916	0.980345638555598	0.981923284600198	-8.05715506477391	-644.543152785476	628.428842655928	0.980205867843988	0.981908645280175
FKBP6	ENSG00000077800	M1	0	10	12970	0	0	135	1	1	-11.0009487499179	-913.049125306636	891.0472278068	0.980930153056029	0.981923284600198	-11.017743359503	-912.926524183441	890.891037464435	0.980898094310828	0.981908645280175
PKP1	ENSG00000081277	M1	0	2	12978	0	0	135	1	1	-9.00033037661252	-751.028735715363	733.028074962138	0.981033588577264	0.981923284600198	-9.05733615728805	-751.085764327605	732.971092013029	0.980913483630739	0.981908645280175
GTF2B	ENSG00000137947	M1	0	2	12978	0	0	135	1	1	-9.00033037661277	-751.028735715703	733.028074962477	0.981033588577272	0.981923284600198	-8.95461470812395	-750.983036482427	733.073807066179	0.981129907691468	0.981908645280175
RWDD4	ENSG00000182552	M1	0	4	12976	0	0	135	1	1	-10.0004857787656	-875.073113847159	855.072142289628	0.981923284600193	0.981923284600198	-10.0069726810534	-874.940156652805	854.926211290698	0.981908645280156	0.981908645280175
SKA2	ENSG00000182628	M1	0	4	12976	0	0	135	1	1	-10.0004857787653	-875.073113847364	855.072142289834	0.981923284600198	0.981923284600198	-10.0069726810548	-874.94015665383	854.926211291721	0.981908645280175	0.981908645280175
TRIB2	ENSG00000071575	M1	0	0	12980	0	0	135	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC16A	ENSG00000148396	M2	0	87	12893	0	15	120	1.14181624515164e-13	1	2.91909014657538	2.34240908449598	3.49577120865478	3.37014940369342e-23	1.61767171377284e-21	2.9278925418412	2.35054518602196	3.50523989766045	2.80133257741803e-23	1.34463963716065e-21
ZNF155	ENSG00000204920	M2	0	8	12972	0	6	129	2.98609037696523e-09	1	4.32305399044118	3.25044044367942	5.39566753720294	2.80193268752807e-15	6.72463845006737e-14	4.32480033325572	3.25179488493668	5.39780578157477	2.79509136448559e-15	6.70821927476541e-14
ZBTB10	ENSG00000205189	M2	18	895	12067	2	26	107	1.80762243271555e-07	1	1.20484980709403	0.819759691341725	1.58993992284634	8.66541871763261e-10	1.38646699482122e-08	1.20350957850746	0.818184656830809	1.58883450018411	9.25944983640733e-10	1.48151197382517e-08
SLC2A8	ENSG00000136856	M2	0	119	12861	0	8	127	4.91002966383137e-05	1	1.91808571718117	1.181194055566	2.65497737879633	3.36667383019208e-07	4.04000859623049e-06	1.92692137084226	1.18949206632411	2.66435067536041	3.03218742555965e-07	3.63862491067158e-06
FAAH	ENSG00000117480	M2	0	58	12922	0	3	132	0.0248827903321915	1	1.62205391954265	0.44897373035982	2.79513410872547	0.00672624683812363	0.0645719696459868	1.61962192662217	0.446446853203162	2.79279700004119	0.006813595498607	0.0654105167866272
LHPP	ENSG00000107902	M2	0	18	12962	0	1	134	0.17858504888294	1	1.68156572104951	-0.339284788004038	3.70241623010306	0.102911092213823	0.823288737710581	1.68303744903986	-0.337950628471934	3.70402552655166	0.102633604895587	0.821068839164698
UGGT1	ENSG00000136731	M2	0	23	12957	0	1	134	0.220065072507794	1	1.4360574456593	-0.573281367323115	3.44539625864172	0.161282960066704	0.981033588577267	1.43365523365343	-0.575801974408294	3.44311244171514	0.162009761909225	0.981016871872639
PKP1	ENSG00000081277	M2	2	426	12552	0	2	133	0.344714288515141	1	-0.818179898770854	-2.21328316693899	0.576923369397278	0.250369975670708	0.981033588577267	-0.817066437962038	-2.21229992904337	0.578167053119298	0.251059485994787	0.981016871872639
TRIM17	ENSG00000162931	M2	0	92	12888	0	2	133	0.252198212908209	1	0.745061400052614	-0.666202292801437	2.15632509290667	0.300789517142557	0.981033588577267	0.742688626233747	-0.668634380817579	2.15401163328507	0.302351816257604	0.981016871872639
PRDX3	ENSG00000165672	M2	2	227	12751	0	1	134	0.739060184318283	1	-0.876771408216644	-2.83801866212964	1.08447584569635	0.380922552881835	0.981033588577267	-0.881929661186158	-2.84327324798524	1.07941392561293	0.378150425737338	0.981016871872639
NF1	ENSG00000196712	M2	0	49	12931	0	1	134	0.404479240750658	1	0.677722710147049	-1.30944115043271	2.6648865707268	0.503848822072214	0.981033588577267	0.673039479779751	-1.31423541685748	2.66031437641698	0.506824747198181	0.981016871872639
TCHP	ENSG00000139437	M2	0	50	12930	0	1	134	0.410632727352325	1	0.657442666300124	-1.3293266409244	2.64421197352465	0.516614731618077	0.981033588577267	0.651720908479	-1.33518878617291	2.63863060313091	0.520300333500214	0.981016871872639
SREBF2	ENSG00000198911	M2	0	51	12929	0	1	134	0.416723096438617	1	0.637562696492803	-1.3488274557158	2.6239528487014	0.529296153994053	0.981033588577267	0.626982572819398	-1.35977131390587	2.61373645954467	0.536227229244254	0.981016871872639
SPATA31D1	ENSG00000214929	M2	0	53	12927	0	1	134	0.428717046081989	1	0.59894171269401	-1.38673285328066	2.58461627866868	0.554395403390226	0.981033588577267	0.601750208423312	-1.38399293411557	2.5874933509622	0.552553438503328	0.981016871872639
CYP4A22	ENSG00000162365	M2	0	56	12924	0	1	134	0.44625044515964	1	0.543649836172145	-1.44104676195657	2.52834643430086	0.591353921504336	0.981033588577267	0.532504553044502	-1.45258622988144	2.51759533597044	0.599052023923419	0.981016871872639
BRCA1	ENSG00000012048	M2	0	56	12924	0	1	134	0.44625044515964	1	0.543649836172118	-1.44104676195668	2.52834643430091	0.591353921504371	0.981033588577267	0.565845553783337	-1.42022463432054	2.55191574188721	0.576566009000413	0.981016871872639
CCNDBP1	ENSG00000166946	M2	0	58	12922	0	1	134	0.457641560164801	1	0.508403753534737	-1.47569682521888	2.49250433228835	0.615513465809698	0.981033588577267	0.502528416595033	-1.48171113584128	2.48676796903134	0.619626059764849	0.981016871872639
PIF1	ENSG00000140451	M2	21	1413	11546	2	13	120	0.0310847775856875	1	0.127245289159388	-0.374118338683485	0.628608917002261	0.61888181212495	0.981033588577267	0.127386110102912	-0.373939549885779	0.628711770091604	0.618467157991155	0.981016871872639
TMPRSS15	ENSG00000154646	M2	9	887	12084	0	8	127	0.875479673898214	1	-0.170475234639951	-0.881795634882024	0.540845165602122	0.638551157478957	0.981033588577267	-0.172563879756583	-0.883873095442979	0.538745335929812	0.634439191412701	0.981016871872639
ARID2	ENSG00000189079	M2	0	146	12834	0	2	133	0.666236253876955	1	0.279044608853756	-1.12673667529256	1.68482589300007	0.69724011998352	0.981033588577267	0.287842899923547	-1.11826306291401	1.69394886276111	0.688256124281697	0.981016871872639
DOP1B	ENSG00000142197	M2	1	246	12733	0	2	133	1	1	-0.256908133095626	-1.65436989719751	1.14055363100626	0.71860930777796	0.981033588577267	-0.257420425950934	-1.65464735870942	1.13980650680755	0.71802676996963	0.981016871872639
VNN2	ENSG00000112303	M2	0	102	12878	0	1	134	1	1	-0.0595369049999001	-2.03640449065947	1.91733068065967	0.952929947351272	0.981033588577267	-0.0547643980495595	-2.03171953758152	1.9221907414824	0.956701153286738	0.981016871872639
NDUFB3	ENSG00000119013	M2	0	59	12921	0	0	135	1	1	-12.0047340271614	-624.28596965971	600.276501605387	0.969346302550632	0.981033588577267	-12.0016208522473	-624.187828814622	600.184587110128	0.969349493330946	0.981016871872639
LAMB2	ENSG00000172037	M2	0	124	12856	0	0	135	0.641271447387534	1	-13.0097773573979	-709.336946027438	683.317391312642	0.97078891929214	0.981033588577267	-13.0191281411385	-709.226998658531	683.188742376254	0.970762926411304	0.981016871872639
PSIP1	ENSG00000164985	M2	0	22	12958	0	0	135	1	1	-11.0018743902263	-619.162643857846	597.158895077394	0.971715699419063	0.981033588577267	-10.9849948303633	-619.068073825898	597.098084165171	0.971755469662127	0.981016871872639
PLEKHN1	ENSG00000187583	M2	0	49	12931	0	0	135	1	1	-12.0039603926302	-683.864157395756	659.856236610495	0.972065233861008	0.981033588577267	-12.0009886984969	-683.756590668667	659.754613271673	0.972067799850069	0.981016871872639
GTF2IRD1	ENSG00000006704	M2	0	113	12867	0	0	135	0.633619754917119	1	-13.0089220916265	-742.441171226763	716.42332704351	0.972115935814961	0.981033588577267	-13.0049430040218	-742.326393397551	716.316507389507	0.972120228209671	0.981016871872639
ARHGAP45	ENSG00000180448	M2	0	21	12959	0	0	135	1	1	-11.0017972207889	-633.474188828034	611.470594386456	0.972365930714612	0.981033588577267	-10.9911241026602	-633.374164876319	611.391916670999	0.972388766723792	0.981016871872639
SKA2	ENSG00000182628	M2	0	9	12971	0	0	135	1	1	-10.0008711797822	-586.71597040131	566.714228041746	0.972886782652222	0.981033588577267	-10.0245026926591	-586.657408261458	566.60840287614	0.972818867985883	0.981016871872639
RWDD4	ENSG00000182552	M2	0	9	12971	0	0	135	1	1	-10.0008711797833	-586.715970401572	566.714228042005	0.972886782652231	0.981033588577267	-10.0130860504356	-586.636411431868	566.610239330996	0.972849360997265	0.981016871872639
RTN2	ENSG00000125744	M2	0	20	12960	0	0	135	1	1	-11.0017200573371	-648.846113930448	626.842673815773	0.973031841995983	0.981033588577267	-11.0134177289981	-648.755255654091	626.728420196095	0.972998839083394	0.981016871872639
TNFRSF13B	ENSG00000240505	M2	0	229	12751	0	0	135	0.179366802713506	1	-14.017978309413	-858.817530513833	830.781573895007	0.974055619313246	0.981033588577267	-14.0184111061151	-858.681864168556	830.645041956326	0.974050639550902	0.981016871872639
FAM234B	ENSG00000084444	M2	0	17	12963	0	0	135	1	1	-11.0014886026067	-702.840866833683	680.83788962847	0.975136399339969	0.981033588577267	-11.0171315206971	-702.747858988062	680.713595946668	0.975097147849917	0.981016871872639
FKBP6	ENSG00000077800	M2	0	16	12964	0	0	135	1	1	-11.0014114629741	-724.133118303116	702.130295377168	0.975878703645963	0.981033588577267	-11.0014648617914	-724.019463132657	702.016533409074	0.975874741010531	0.981016871872639
PLIN1	ENSG00000166819	M2	0	36	12944	0	0	135	1	1	-12.0029555616606	-795.839845447614	771.833934324293	0.976056620190115	0.981033588577267	-11.9980017532004	-795.71486985309	771.718866346689	0.976062834854491	0.981016871872639
CIMIP2C	ENSG00000173557	M2	0	7	12973	0	0	135	1	1	-10.0007170015183	-663.934166379558	643.932732376521	0.976087735267911	0.981033588577267	-9.98507357401446	-663.831324779053	643.861177631024	0.976121945342303	0.981016871872639
TPRG1L	ENSG00000158109	M2	0	82	12898	0	0	135	1	1	-13.0065157252307	-869.289378685101	843.27634723464	0.976249775386322	0.981033588577267	-13.0029602299233	-869.154143922711	843.148223462864	0.976252615095993	0.981016871872639
SUSD4	ENSG00000143502	M2	0	15	12965	0	0	135	1	1	-11.0013343292274	-747.520592821078	725.517924162623	0.976644596504614	0.981033588577267	-10.9837790892833	-747.409611069623	725.442052891056	0.976678897564055	0.981016871872639
GTF2B	ENSG00000137947	M2	0	15	12965	0	0	135	1	1	-11.0013343292277	-747.520592821356	725.5179241629	0.976644596504622	0.981033588577267	-10.9906453919499	-747.403783104076	725.422492320176	0.976663920827233	0.981016871872639
ATRNL1	ENSG00000107518	M2	0	34	12946	0	0	135	1	1	-12.0028010617782	-818.564305594179	794.558703470622	0.97673132269966	0.981033588577267	-12.0032350503467	-818.435807054202	794.429336953509	0.97672676232831	0.981016871872639
LRSAM1	ENSG00000148356	M2	0	33	12947	0	0	135	1	1	-12.0027238208264	-830.693652881328	806.688205239675	0.977076114782498	0.981033588577267	-12.0076857590011	-830.565438442233	806.550066924231	0.977062910488291	0.981016871872639
PIK3IP1	ENSG00000100100	M2	0	13	12967	0	0	135	1	1	-11.001180079712	-802.149771331032	780.147411171608	0.978257193252471	0.981033588577267	-11.0116522872551	-802.033109615914	780.009805041404	0.978233004053954	0.981016871872639
CDC42BPB	ENSG00000198752	M2	0	27	12953	0	0	135	1	1	-12.0022605003875	-917.099133943707	893.094612942931	0.979264847035626	0.981033588577267	-11.9954000816087	-916.95610799331	892.965307830092	0.979273579011549	0.981016871872639
TRIB2	ENSG00000071575	M2	0	5	12975	0	0	135	1	1	-10.0005628470731	-783.745047298847	763.743921604701	0.979789894434675	0.981033588577267	-10.017309279404	-783.642824124288	763.60820556548	0.97975294639622	0.981016871872639
TAS2R1	ENSG00000169777	M2	0	1	12979	0	0	135	1	1	-8.00024983770579	-644.486220932984	628.485721257572	0.980345638555588	0.981033588577267	-7.95447510046326	-644.440465350803	628.531515149876	0.980458072231939	0.981016871872639
HLA-DMB	ENSG00000242574	M2	0	1	12979	0	0	135	1	1	-8.00024983770642	-644.486220933287	628.485721257875	0.980345638555596	0.981033588577267	-8.05715506477167	-644.543152784306	628.428842654763	0.980205867843957	0.981016871872639
SPRED2	ENSG00000198369	M2	0	10	12970	0	0	135	1	1	-11.0009487499166	-913.04912530698	891.047227807147	0.980930153056039	0.981033588577267	-10.9971321929489	-912.904854770286	890.910590384388	0.980933799545263	0.981016871872639
UCHL1	ENSG00000154277	M2	0	2	12978	0	0	135	1	1	-9.00033037661481	-751.028735715648	733.028074962418	0.981033588577267	0.981033588577267	-9.00681372555528	-750.91570550514	732.902078054029	0.981016871872639	0.981016871872639
ZNF155	ENSG00000204920	M3	0	256	12724	1	20	114	6.33847128167868e-14	1	2.22996295661725	1.76101564451324	2.69891026872126	1.16204452230722e-20	5.57781370707465e-19	2.22643454988369	1.75712848369611	2.69574061607128	1.42757886693383e-20	6.85237856128236e-19
CYP4A22	ENSG00000162365	M3	593	4562	7825	29	68	38	2.22075922589127e-18	1	1.152112215649	0.906458126896691	1.3977663044013	3.84932307697131e-20	9.23837538473113e-19	1.15175751254719	0.906034724624922	1.39748030046947	4.0474512736097e-20	9.71388305666328e-19
UGGT1	ENSG00000136731	M3	0	284	12696	1	15	119	5.61786229125156e-09	1	1.83362718942568	1.31763655245485	2.34961782639651	3.28546342224485e-12	5.25674147559176e-11	1.83225948361738	1.31626835965365	2.34825060758112	3.40908177203523e-12	5.45453083525637e-11
CCNDBP1	ENSG00000166946	M3	0	110	12870	1	7	127	2.32699612890024e-06	1	2.04591859046331	1.35771721792475	2.73411996300187	5.65420697936468e-09	6.78504837523761e-08	2.05134589227726	1.36306655683746	2.73962522771705	5.17417555985332e-09	6.20901067182399e-08
PIK3IP1	ENSG00000100100	M3	0	65	12915	0	6	129	8.80552120070224e-05	1	2.22370450033962	1.36964468904379	3.07776431163546	3.34076193560371e-07	3.20713145817957e-06	2.21605935574292	1.36145308158216	3.07066562990368	3.72820494780414e-07	3.57907674989197e-06
DOP1B	ENSG00000142197	M3	256	4099	8625	7	63	65	1.69085742913883e-05	1	0.683066918802636	0.398788694567812	0.96734514303746	2.48418385856212e-06	1.98734708684969e-05	0.684876126344035	0.400470614444191	0.969281638243879	2.36095385059543e-06	1.88876308047635e-05
SEC16A	ENSG00000148396	M3	970	5530	6480	0	45	90	2.23263164534391e-06	1	-0.727628918423082	-1.0533875027554	-0.401870334090759	1.19848608228823e-05	8.21819027854786e-05	-0.72762678744537	-1.05333443924907	-0.401919135641667	1.19479848640783e-05	8.19290390679655e-05
CIMIP2C	ENSG00000173557	M3	1256	6002	5722	24	72	39	0.000203763912560679	1	0.521957693765721	0.273285948267498	0.770629439263944	3.88978570969415e-05	0.000233387142581649	0.521475165320566	0.272853510118356	0.770096820522775	3.94025266429014e-05	0.000234607699518723
BRCA1	ENSG00000012048	M3	1477	7092	4411	33	69	33	4.86143044022298e-05	1	0.545989958330048	0.283863410229497	0.8081165064306	4.45618445939254e-05	0.000237663171167602	0.546403847464444	0.284271557970962	0.808536136957925	4.39889436597606e-05	0.000234607699518723
ARHGAP45	ENSG00000180448	M3	104	2279	10597	0	4	131	9.79178549882007e-07	1	-1.96499344890891	-2.95440259254014	-0.975584305277688	9.91994254137382e-05	0.000476157241985943	-1.96487668532032	-2.95432521638993	-0.975428154250703	9.93575285139077e-05	0.000476916136866757
ZBTB10	ENSG00000205189	M3	25	1797	11158	2	29	104	0.00137244478844536	1	0.63692585979852	0.254080987630417	1.01977073196662	0.00111127862693608	0.00484921582663018	0.636178043996728	0.253271286541028	1.01908480145243	0.00112846617513718	0.00492421603696222
RTN2	ENSG00000125744	M3	0	154	12826	0	6	129	0.00619785322951215	1	1.35422410201769	0.520398325125134	2.18804987891024	0.00145659226014437	0.00582636904057748	1.34855244178078	0.514449638500987	2.18265524506057	0.00153063843995953	0.00612255375983814
SREBF2	ENSG00000198911	M3	1	322	12657	0	9	126	0.0174471632388493	1	1.01554750743222	0.335655822174684	1.69543919268975	0.00341612393601097	0.0126133806868097	1.01319197505328	0.333031931012343	1.69335201909421	0.00350440396783638	0.0129393377273958
FAAH	ENSG00000117480	M3	0	91	12889	0	4	131	0.0166314323251475	1	1.46436704468637	0.448394487080395	2.48033960229235	0.00472829119724814	0.0162112841048508	1.46472055435563	0.44869451862984	2.48074659008142	0.00472042819139022	0.0161843252276236
HLA-DMB	ENSG00000242574	M3	34	2023	10923	5	24	106	4.59123014841983e-05	1	0.529702503381903	0.152936952323402	0.906468054440403	0.00585928280283281	0.018749704969065	0.5284096844822	0.151779945731647	0.905039423232753	0.00596280277681581	0.0190809688858106
LAMB2	ENSG00000172037	M3	200	3935	8845	7	47	81	0.00449765380004079	1	0.418392988937531	0.112903546214032	0.72388243166103	0.00726748246949708	0.0218024474084912	0.418565036662431	0.113035743130971	0.724094330193891	0.00725111680708024	0.0217533504212407
